sequence_id,complexity_level,n_states,program_bits,model,context_len,predict_len,h_model_bits_per_sym,h_gzip_bits_per_sym,h_gzip_is_negative,el_gzip,mean_invalid_mass,mean_valid_binary_mass
L1_0000,1,3,24,Qwen/Qwen2.5-1.5B,100,100,0.644655,0.0,False,0.644655,0.413196,0.586804
L1_0001,1,3,24,Qwen/Qwen2.5-1.5B,100,100,0.413851,0.0,False,0.413851,0.442952,0.557048
L1_0002,1,3,24,Qwen/Qwen2.5-1.5B,100,100,1.121192,0.0,False,1.121192,0.348124,0.651876
L1_0003,1,3,24,Qwen/Qwen2.5-1.5B,100,100,0.788402,0.0,False,0.788402,0.523064,0.476936
L1_0004,1,3,24,Qwen/Qwen2.5-1.5B,100,100,0.97992,0.0,False,0.97992,0.344617,0.655383
L1_0005,1,3,24,Qwen/Qwen2.5-1.5B,100,100,1.09037,0.0,False,1.09037,0.341572,0.658428
L1_0006,1,3,24,Qwen/Qwen2.5-1.5B,100,100,1.402184,0.0,False,1.402184,0.344552,0.655448
L1_0007,1,3,24,Qwen/Qwen2.5-1.5B,100,100,0.89023,0.08,False,0.81023,0.361251,0.638749
L1_0008,1,3,24,Qwen/Qwen2.5-1.5B,100,100,1.030831,0.0,False,1.030831,0.345181,0.654819
L1_0009,1,3,24,Qwen/Qwen2.5-1.5B,100,100,1.396822,0.0,False,1.396822,0.344163,0.655837
L1_0010,1,3,24,Qwen/Qwen2.5-1.5B,100,100,0.992119,0.0,False,0.992119,0.345348,0.654652
L1_0011,1,3,24,Qwen/Qwen2.5-1.5B,100,100,1.105045,0.0,False,1.105045,0.344907,0.655093
L1_0012,1,3,24,Qwen/Qwen2.5-1.5B,100,100,1.085166,0.0,False,1.085166,0.380462,0.619538
L1_0013,1,3,24,Qwen/Qwen2.5-1.5B,100,100,1.133805,0.0,False,1.133805,0.454828,0.545172
L1_0014,1,3,24,Qwen/Qwen2.5-1.5B,100,100,1.099439,0.0,False,1.099439,0.346342,0.653658
L1_0015,1,3,24,Qwen/Qwen2.5-1.5B,100,100,1.003933,0.0,False,1.003933,0.425107,0.574893
L1_0016,1,3,24,Qwen/Qwen2.5-1.5B,100,100,1.405525,0.0,False,1.405525,0.343079,0.656921
L1_0017,1,3,24,Qwen/Qwen2.5-1.5B,100,100,1.342344,0.0,False,1.342344,0.347446,0.652554
