sequence_id,complexity_level,n_states,program_bits,model,context_len,predict_len,h_model_bits_per_sym,h_gzip_bits_per_sym,h_gzip_is_negative,el_gzip,mean_invalid_mass,mean_valid_binary_mass
L1_0000,1,3,24,Qwen/Qwen2.5-3B,100,100,0.379241,0.0,False,0.379241,0.345966,0.654034
L1_0001,1,3,24,Qwen/Qwen2.5-3B,100,100,0.379647,0.0,False,0.379647,0.350003,0.649997
L1_0002,1,3,24,Qwen/Qwen2.5-3B,100,100,1.035226,0.0,False,1.035226,0.34317,0.65683
L1_0003,1,3,24,Qwen/Qwen2.5-3B,100,100,0.676571,0.0,False,0.676571,0.356693,0.643307
L1_0004,1,3,24,Qwen/Qwen2.5-3B,100,100,0.946389,0.0,False,0.946389,0.342502,0.657498
L1_0005,1,3,24,Qwen/Qwen2.5-3B,100,100,1.076658,0.0,False,1.076658,0.343269,0.656731
L1_0006,1,3,24,Qwen/Qwen2.5-3B,100,100,1.013096,0.0,False,1.013096,0.343978,0.656022
L1_0007,1,3,24,Qwen/Qwen2.5-3B,100,100,0.741564,0.08,False,0.661564,0.34005,0.65995
L1_0008,1,3,24,Qwen/Qwen2.5-3B,100,100,1.134203,0.0,False,1.134203,0.341428,0.658572
L1_0009,1,3,24,Qwen/Qwen2.5-3B,100,100,1.007123,0.0,False,1.007123,0.34388,0.65612
L1_0010,1,3,24,Qwen/Qwen2.5-3B,100,100,1.038118,0.0,False,1.038118,0.338843,0.661157
L1_0011,1,3,24,Qwen/Qwen2.5-3B,100,100,1.186932,0.0,False,1.186932,0.34304,0.65696
L1_0012,1,3,24,Qwen/Qwen2.5-3B,100,100,0.854638,0.0,False,0.854638,0.346515,0.653485
L1_0013,1,3,24,Qwen/Qwen2.5-3B,100,100,0.962624,0.0,False,0.962624,0.344709,0.655291
L1_0014,1,3,24,Qwen/Qwen2.5-3B,100,100,1.089202,0.0,False,1.089202,0.343788,0.656212
L1_0015,1,3,24,Qwen/Qwen2.5-3B,100,100,0.924794,0.0,False,0.924794,0.344922,0.655078
L1_0016,1,3,24,Qwen/Qwen2.5-3B,100,100,0.945582,0.0,False,0.945582,0.343687,0.656313
L1_0017,1,3,24,Qwen/Qwen2.5-3B,100,100,1.156947,0.0,False,1.156947,0.341673,0.658327
L1_0018,1,3,24,Qwen/Qwen2.5-3B,100,100,0.811665,0.0,False,0.811665,0.348581,0.651419
L1_0019,1,3,24,Qwen/Qwen2.5-3B,100,100,0.859091,0.0,False,0.859091,0.346168,0.653832
L1_0020,1,3,24,Qwen/Qwen2.5-3B,100,100,0.269932,0.0,False,0.269932,0.348519,0.651481
L1_0021,1,3,24,Qwen/Qwen2.5-3B,100,100,0.853445,0.0,False,0.853445,0.344558,0.655442
L1_0022,1,3,24,Qwen/Qwen2.5-3B,100,100,0.823907,0.0,False,0.823907,0.347291,0.652709
L1_0023,1,3,24,Qwen/Qwen2.5-3B,100,100,1.038628,0.0,False,1.038628,0.344552,0.655448
L1_0024,1,3,24,Qwen/Qwen2.5-3B,100,100,1.535865,0.0,False,1.535865,0.341327,0.658673
L1_0025,1,3,24,Qwen/Qwen2.5-3B,100,100,1.413475,0.0,False,1.413475,0.342759,0.657241
L1_0026,1,3,24,Qwen/Qwen2.5-3B,100,100,0.794684,0.0,False,0.794684,0.348701,0.651299
L1_0027,1,3,24,Qwen/Qwen2.5-3B,100,100,0.981888,0.0,False,0.981888,0.342314,0.657686
L1_0028,1,3,24,Qwen/Qwen2.5-3B,100,100,1.029513,0.0,False,1.029513,0.342207,0.657793
L1_0029,1,3,24,Qwen/Qwen2.5-3B,100,100,1.127459,0.0,False,1.127459,0.343675,0.656325
L1_0030,1,3,24,Qwen/Qwen2.5-3B,100,100,1.076337,0.08,False,0.996337,0.343263,0.656737
L1_0031,1,3,24,Qwen/Qwen2.5-3B,100,100,1.119935,0.0,False,1.119935,0.341532,0.658468
L1_0032,1,3,24,Qwen/Qwen2.5-3B,100,100,0.979819,0.0,False,0.979819,0.341915,0.658085
L1_0033,1,3,24,Qwen/Qwen2.5-3B,100,100,0.367701,0.0,False,0.367701,0.345569,0.654431
L1_0034,1,3,24,Qwen/Qwen2.5-3B,100,100,1.027701,0.0,False,1.027701,0.341713,0.658287
L1_0035,1,3,24,Qwen/Qwen2.5-3B,100,100,0.922182,0.08,False,0.842182,0.341644,0.658356
L1_0036,1,3,24,Qwen/Qwen2.5-3B,100,100,0.968503,0.0,False,0.968503,0.340702,0.659298
L1_0037,1,3,24,Qwen/Qwen2.5-3B,100,100,0.943754,0.0,False,0.943754,0.342861,0.657139
L1_0038,1,3,24,Qwen/Qwen2.5-3B,100,100,0.908169,0.0,False,0.908169,0.340817,0.659183
