model,sequence_id,program_bits,complexity_level,h_model_bits_per_sym,h_ctw_D4,h_ctw_D8,h_ctw_D12,h_ctw_best,sg_D4,sg_D8,sg_D12,sg_primary,sg_min
Qwen/Qwen2.5-3B,L1_0000,24,1,0.379241,0.010053148130867124,0.010055474081425455,0.010055629091960743,0.010055629091960743,0.3691878518691329,0.36918552591857456,0.36918537090803927,0.36918552591857456,0.36918537090803927
Qwen/Qwen2.5-3B,L1_0001,24,1,0.379647,0.005025305574975918,0.0050275866589622,0.005027738590845903,0.005027738590845903,0.3746216944250241,0.3746194133410378,0.37461926140915414,0.3746194133410378,0.37461926140915414
Qwen/Qwen2.5-3B,L1_0002,24,1,1.035226,0.42342805125082994,0.42343411521451424,0.4234345190310208,0.4234345190310208,0.61179794874917,0.6117918847854857,0.6117914809689792,0.6117918847854857,0.6117914809689792
Qwen/Qwen2.5-3B,L1_0003,24,1,0.676571,0.005025305574975918,0.0050275866589622,0.005027738590845903,0.005027738590845903,0.6715456944250241,0.6715434133410378,0.6715432614091541,0.6715434133410378,0.6715432614091541
Qwen/Qwen2.5-3B,L1_0004,24,1,0.946389,0.556165704478446,0.5561748855625002,0.5561755557468671,0.5561755557468671,0.390223295521554,0.39021411443749987,0.390213444253133,0.39021411443749987,0.390213444253133
Qwen/Qwen2.5-3B,L1_0005,24,1,1.076658,0.4285088015909607,0.42851507534011984,0.4285154936105082,0.4285154936105082,0.6481491984090392,0.64814292465988,0.6481425063894917,0.64814292465988,0.6481425063894917
Qwen/Qwen2.5-3B,L1_0006,24,1,1.013096,0.5598101916185926,0.5595302165695909,0.5595309935698564,0.5598101916185926,0.4532858083814074,0.4535657834304091,0.45356500643014364,0.4535657834304091,0.4532858083814074
Qwen/Qwen2.5-3B,L1_0007,24,1,0.741564,0.5859905535917557,0.5860108820291188,0.5860120193087732,0.5860120193087732,0.15557344640824433,0.15555311797088123,0.15555198069122678,0.15555311797088123,0.15555198069122678
Qwen/Qwen2.5-3B,L1_0008,24,1,1.134203,0.6443285786964589,0.6443455645047795,0.6443468125278053,0.6443468125278053,0.4898744213035412,0.48985743549522054,0.4898561874721947,0.48985743549522054,0.4898561874721947
Qwen/Qwen2.5-3B,L1_0009,24,1,1.007123,0.5616825321925537,0.5616922213098698,0.5616929260152631,0.5616929260152631,0.4454404678074463,0.44543077869013015,0.4454300739847369,0.44543077869013015,0.4454300739847369
Qwen/Qwen2.5-3B,L1_0010,24,1,1.038118,0.644025079702771,0.6440413338889835,0.6440425795532169,0.6440425795532169,0.3940929202972291,0.39407666611101655,0.39407542044678323,0.39407666611101655,0.39407542044678323
Qwen/Qwen2.5-3B,L1_0011,24,1,1.186932,0.5616420249846749,0.5616530879755832,0.5616536914561304,0.5616536914561304,0.6252899750153252,0.6252789120244169,0.6252783085438697,0.6252789120244169,0.6252783085438697
Qwen/Qwen2.5-3B,L1_0012,24,1,0.854638,0.018999956527586407,0.01900241322631889,0.01900257724668017,0.01900257724668017,0.8356380434724135,0.8356355867736811,0.8356354227533198,0.8356355867736811,0.8356354227533198
Qwen/Qwen2.5-3B,L1_0013,24,1,0.962624,0.010053148130867124,0.010055474081425455,0.010055629091960743,0.010055629091960743,0.9525708518691329,0.9525685259185745,0.9525683709080393,0.9525685259185745,0.9525683709080393
